Episode,Total Reward,Steps,Termination Reason
15971,-135,13,no_fly_zone
15972,-135,13,no_fly_zone
15973,-48,20,boundary
15974,-165,28,no_fly_zone
15975,-6,20,boundary
15976,-90,20,boundary
15977,-135,13,no_fly_zone
15978,15,20,boundary
15979,-90,20,boundary
15980,-96,23,boundary
15981,50,20,boundary
15982,50,20,boundary
15983,50,20,boundary
15984,-148,56,boundary
15985,-135,13,no_fly_zone
15986,-92,21,boundary
15987,-135,13,no_fly_zone
15988,-48,20,boundary
15989,-90,20,boundary
15990,-135,13,no_fly_zone
15991,63,31,boundary
15992,-6,20,boundary
15993,-135,13,no_fly_zone
15994,-135,13,no_fly_zone
15995,-149,20,no_fly_zone
15996,50,20,boundary
15997,-125,15,no_fly_zone
15998,22,20,boundary
15999,-135,13,no_fly_zone
16000,-168,87,boundary
16001,-143,50,boundary
16002,-135,13,no_fly_zone
16003,-135,13,no_fly_zone
16004,15,20,boundary
16005,-135,13,no_fly_zone
16006,-90,20,boundary
16007,-27,20,boundary
16008,50,20,boundary
16009,-148,49,boundary
16010,-339,115,no_fly_zone
16011,50,20,boundary
16012,-547,294,boundary
16013,1,20,boundary
16014,-148,63,boundary
16015,15,20,boundary
16016,-135,13,no_fly_zone
16017,-135,13,no_fly_zone
16018,29,20,boundary
16019,-90,20,boundary
16020,1,20,boundary
16021,-125,15,no_fly_zone
16022,22,20,boundary
16023,-106,28,boundary
16024,-1281,700,max_steps
16025,-492,263,boundary
16026,-90,20,boundary
16027,-135,13,no_fly_zone
16028,-120,16,no_fly_zone
16029,-69,20,boundary
16030,-13,20,boundary
16031,-135,13,no_fly_zone
16032,-13,20,boundary
16033,15,20,boundary
16034,-135,13,no_fly_zone
16035,-149,20,no_fly_zone
16036,-135,13,no_fly_zone
16037,-135,13,no_fly_zone
16038,50,20,boundary
16039,-187,39,no_fly_zone
16040,50,20,boundary
16041,-125,15,no_fly_zone
16042,-6,20,boundary
16043,-173,32,no_fly_zone
16044,392,44,target_reached
16045,-185,38,no_fly_zone
16046,-125,15,no_fly_zone
16047,-92,21,boundary
16048,-135,13,no_fly_zone
16049,22,20,boundary
16050,15,20,boundary
16051,22,20,boundary
16052,50,20,boundary
16053,-187,39,no_fly_zone
16054,-125,15,no_fly_zone
16055,50,20,boundary
16056,-130,14,no_fly_zone
16057,-137,14,no_fly_zone
16058,50,20,boundary
16059,-147,19,no_fly_zone
16060,-502,268,boundary
16061,-171,31,no_fly_zone
16062,-90,20,boundary
16063,50,20,boundary
16064,365,40,target_reached
16065,-130,14,no_fly_zone
16066,-140,45,boundary
16067,50,20,boundary
16068,-125,15,no_fly_zone
16069,-229,60,no_fly_zone
16070,-76,20,boundary
16071,-135,13,no_fly_zone
16072,-135,13,no_fly_zone
16073,-279,85,no_fly_zone
16074,-135,13,no_fly_zone
16075,128,37,boundary
16076,-150,50,boundary
16077,-135,13,no_fly_zone
16078,-264,95,no_fly_zone
16079,-135,13,no_fly_zone
16080,50,20,boundary
16081,22,20,boundary
16082,-135,13,no_fly_zone
16083,-90,20,boundary
16084,-90,20,boundary
16085,-106,28,boundary
16086,-135,13,no_fly_zone
16087,-161,26,no_fly_zone
16088,50,20,boundary
16089,-90,20,boundary
16090,29,20,boundary
16091,-197,44,no_fly_zone
16092,-94,22,boundary
16093,-135,13,no_fly_zone
16094,-135,13,no_fly_zone
16095,-203,47,no_fly_zone
16096,50,20,boundary
16097,-135,13,no_fly_zone
16098,-135,13,no_fly_zone
16099,-130,14,no_fly_zone
16100,-120,16,no_fly_zone
16101,50,20,boundary
16102,-90,20,boundary
16103,1,20,boundary
